Lon,Lat,Cicyano,,Lon,Lat,CI,,LonTF,LatTF,ValueTF,Cicyano > Ci,Cicyano > 0,CI > 0,Cicyano > Ci
-122.8574904,39.0902267,0,,-122.8574904,39.0902267,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8540396,39.09040061,0,,-122.8540396,39.09040061,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8505888,39.09057442,0,,-122.8505888,39.09057442,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8471379,39.09074813,0,,-122.8471379,39.09074813,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8402361,39.09109525,0,,-122.8402361,39.09109525,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8333341,39.09144195,0,,-122.8333341,39.09144195,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8298831,39.09161516,0,,-122.8298831,39.09161516,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8264321,39.09178826,0,,-122.8264321,39.09178826,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.822981,39.09196126,0,,-122.822981,39.09196126,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8952226,39.08561793,0,,-122.8952226,39.08561793,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8917723,39.08579294,0,,-122.8917723,39.08579294,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8883219,39.08596785,0,,-122.8883219,39.08596785,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8848715,39.08614266,0,,-122.8848715,39.08614266,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.881421,39.08631737,0,,-122.881421,39.08631737,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8779706,39.08649197,0,,-122.8779706,39.08649197,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8745201,39.08666648,0,,-122.8745201,39.08666648,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8710696,39.08684088,0,,-122.8710696,39.08684088,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.867619,39.08701518,0,,-122.867619,39.08701518,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8641684,39.08718938,0,,-122.8641684,39.08718938,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8607178,39.08736348,0,,-122.8607178,39.08736348,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8572672,39.08753748,0,,-122.8572672,39.08753748,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8538165,39.08771138,0,,-122.8538165,39.08771138,0,,TRUE,TRUE,TRUE,FALSE,,,
